Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
20,2006-07-23,154.5,Antony/Parc de Sceaux,Paris,Flat stage,Thor Hushovd,NOR
1,2005-07-02,19,Fromentine,Noirmoutier-en-l'Île,Individual time trial,David Zabriskie,USA
2,2005-07-03,181.5,Challans,Les Essarts,Plain stage,Tom Boonen,BEL
3,2005-07-04,212.5,La Châtaigneraie,Tours,Plain stage,Tom Boonen,BEL
4,2005-07-05,67.5,Tours,Blois,Team time trial,Discovery Channel,
5,2005-07-06,183,Chambord,Montargis,Plain stage,Robbie McEwen,AUS
6,2005-07-07,199,Troyes,Nancy,Plain stage,Lorenzo Bernucci,ITA
7,2005-07-08,228.5,Lunéville,Karlsruhe,Plain stage,Robbie McEwen,AUS
8,2005-07-09,231.5,Pforzheim,Gérardmer,Hilly stage,Pieter Weening,NED
9,2005-07-10,171,Gérardmer,Mulhouse,Hilly stage,Michael Rasmussen,DEN
10,2005-07-12,177,Grenoble,Courchevel,Mountain stage,Alejandro Valverde,ESP
11,2005-07-13,173,Courchevel,Briançon,Mountain stage,Alexander Vinokourov,KAZ
12,2005-07-14,187,Briançon,Digne-les-Bains,Hilly stage,David Moncoutié,FRA
13,2005-07-15,173.5,Miramas,Montpellier,Plain stage,Robbie McEwen,AUS
14,2005-07-16,220.5,Agde,Ax 3 Domaines,Mountain stage,Georg Totschnig,AUT
15,2005-07-17,205.5,Lézat-sur-Lèze,Saint-Lary-Soulan Pla d'Adet,Mountain stage,George Hincapie,USA
16,2005-07-19,180.5,Mourenx,Pau,Mountain stage,Óscar Pereiro,ESP
17,2005-07-20,239.5,Pau,Revel,Plain stage,Paolo Savoldelli,ITA
18,2005-07-21,189,Albi,Mende,Hilly stage,Marcos Antonio Serrano,ESP
19,2005-07-22,153.5,Issoire,Le Puy-en-Velay,Hilly stage,Giuseppe Guerini,ITA
20,2005-07-23,55.5,Saint-Étienne,Saint-Étienne,Individual time trial,Lance Armstrong[n 1],USA
21,2005-07-24,144.5,Corbeil-Essonnes,Paris,Plain stage,Alexander Vinokourov,KAZ
P,2004-07-03,6.1,Liège,Liège,Individual time trial,Fabian Cancellara,SUI
1,2004-07-04,202.5,Liège,Charleroi,Plain stage,Jaan Kirsipuu,EST
2,2004-07-05,197,Charleroi,Namur,Plain stage,Robbie McEwen,AUS
3,2004-07-06,210,Waterloo,Wasquehal,Plain stage,Jean-Patrick Nazon,FRA
4,2004-07-07,64.5,Cambrai,Arras,Team time trial,U.S. Postal Service,USA
5,2004-07-08,200.5,Amiens,Chartres,Plain stage,Stuart O'Grady,AUS
6,2004-07-09,196,Bonneval,Angers,Plain stage,Tom Boonen,BEL
7,2004-07-10,204.5,Châteaubriant,Saint-Brieuc,Plain stage,Filippo Pozzato,ITA
8,2004-07-11,168,Lamballe,Quimper,Plain stage,Thor Hushovd,NOR
9,2004-07-13,160.5,Saint-Léonard-de-Noblat,Guéret,Plain stage,Robbie McEwen,AUS
10,2004-07-14,237,Limoges,Saint-Flour,Hilly stage,Richard Virenque,FRA
11,2004-07-15,164,Saint-Flour,Figeac,Hilly stage,David Moncoutié,FRA
12,2004-07-16,197.5,Castelsarrasin,La Mongie,Mountain stage,Ivan Basso,ITA
13,2004-07-17,205.5,Lannemezan,Plateau de Beille,Mountain stage,Lance Armstrong[n 1],USA
14,2004-07-18,192.5,Carcassonne,Nîmes,Plain stage,Aitor González,ESP
15,2004-07-20,180.5,Valréas,Villard-de-Lans,Mountain stage,Lance Armstrong[n 1],USA
16,2004-07-21,15.5,Le Bourg-d'Oisans,Alpe d'Huez,Individual time trial,Lance Armstrong[n 1],USA
17,2004-07-22,204.5,Le Bourg-d'Oisans,Le Grand-Bornand,Mountain stage,Lance Armstrong[n 1],USA
18,2004-07-23,166.5,Annemasse,Lons-le-Saunier,Hilly stage,Juan Miguel Mercado,ESP
19,2004-07-24,55,Besançon,Besançon,Individual time trial,Lance Armstrong[n 1],USA
20,2004-07-25,163,Montereau-Fault-Yonne,Paris,Plain stage,Tom Boonen,BEL
P,2003-07-05,6.5,Paris,Paris,Individual time trial,Bradley McGee,AUS
1,2003-07-06,168,Saint-Denis,Meaux,Plain stage,Alessandro Petacchi,ITA
2,2003-07-07,204.5,La Ferté-sous-Jouarre,Sedan,Plain stage,Baden Cooke,AUS
3,2003-07-08,167.5,Charleville-Mézières,Saint-Dizier,Plain stage,Alessandro Petacchi,ITA
4,2003-07-09,69,Joinville,Saint-Dizier,Team time trial,U.S. Postal Service,USA
5,2003-07-10,196.5,Troyes,Nevers,Plain stage,Alessandro Petacchi,ITA
6,2003-07-11,230,Nevers,Lyon,Plain stage,Alessandro Petacchi,ITA
7,2003-07-12,230.5,Lyon,Morzine,Stage with mountain(s),Richard Virenque,FRA
8,2003-07-13,219,Sallanches,Alpe d'Huez,Stage with mountain(s),Iban Mayo,ESP
9,2003-07-14,184.5,Le Bourg-d'Oisans,Gap,Stage with mountain(s),Alexander Vinokourov,KAZ
10,2003-07-15,219.5,Gap,Marseille,Plain stage,Jakob Piil,DEN
11,2003-07-17,153.5,Narbonne,Toulouse,Plain stage,Juan Antonio Flecha,ESP
12,2003-07-18,47,Gaillac,Cap Découverte,Individual time trial,Jan Ullrich,GER
13,2003-07-19,197.5,Toulouse,Ax 3 Domaines,Stage with mountain(s),Carlos Sastre,ESP
14,2003-07-20,191.5,Saint-Girons,Loudenvielle,Stage with mountain(s),Gilberto Simoni,ITA
15,2003-07-21,159.5,Bagnères-de-Bigorre,Luz Ardiden,Stage with mountain(s),Lance Armstrong[n 1],USA
16,2003-07-23,197.5,Pau,Bayonne,Stage with mountain(s),Tyler Hamilton,USA
17,2003-07-24,181,Dax,Bordeaux,Plain stage,Servais Knaven,NED
18,2003-07-25,203.5,Bordeaux,Saint-Maixent-l'École,Plain stage,Pablo Lastras,ESP
19,2003-07-26,49,Pornic,Nantes,Individual time trial,David Millar,GBR
20,2003-07-27,152,Ville-d'Avray,Paris,Plain stage,Jean-Patrick Nazon,FRA
P,2002-07-06,7,Luxembourg City,Luxembourg City,Individual time trial,Lance Armstrong[n 1],USA
1,2002-07-07,192.5,Luxembourg City,Luxembourg City,Plain stage,Rubens Bertogliati,SUI
2,2002-07-08,181,Luxembourg City,Saarbrücken,Plain stage,Óscar Freire,ESP
3,2002-07-09,174.5,Metz,Reims,Plain stage,Robbie McEwen,AUS
4,2002-07-10,67.5,Épernay,Château-Thierry,Team time trial,ONCE–Eroski,
5,2002-07-11,195,Soissons,Rouen,Plain stage,Jaan Kirsipuu,EST
6,2002-07-12,199.5,Forges-les-Eaux,Alençon,Plain stage,Erik Zabel,GER
7,2002-07-13,176,Bagnoles-de-l'Orne,Avranches,Plain stage,Bradley McGee,AUS
8,2002-07-14,217.5,Saint-Martin-de-Landelles,Plouay,Plain stage,Karsten Kroon,NED
9,2002-07-15,52,Lanester,Lorient,Individual time trial,Santiago Botero,COL
10,2002-07-17,147,Bazas,Pau,Plain stage,Patrice Halgand,FRA
11,2002-07-18,158,Pau,La Mongie,Stage with mountain(s),Lance Armstrong[n 1],USA
12,2002-07-19,199.5,Lannemezan,Plateau de Beille,Stage with mountain(s),Lance Armstrong[n 1],USA
13,2002-07-20,171,Lavelanet,Béziers,Plain stage,David Millar,GBR
14,2002-07-21,221,Lodève,Mont Ventoux,Stage with mountain(s),Richard Virenque,FRA
15,2002-07-23,226.5,Vaison-la-Romaine,Les Deux Alpes,Hilly stage,Santiago Botero,COL
16,2002-07-24,179.5,Les Deux Alpes,La Plagne,Stage with mountain(s),Michael Boogerd,NED
17,2002-07-25,142,Aime,Cluses,Stage with mountain(s),Dario Frigo,ITA
18,2002-07-26,176.5,Cluses,Bourg-en-Bresse,Hilly stage,Thor Hushovd,NOR
19,2002-07-27,50,Régnié-Durette,Mâcon,Individual time trial,Lance Armstrong[n 1],USA
20,2002-07-28,144,Melun,Paris,Plain stage,Robbie McEwen,AUS
P,2001-07-07,8.2,Dunkirk,Dunkirk,Individual time trial,Christophe Moreau,FRA
1,2001-07-08,194.5,Saint-Omer,Boulogne-sur-Mer,Plain stage,Erik Zabel,GER
2,2001-07-09,220.5,Calais,Antwerp,Plain stage,Marc Wauters,BEL
3,2001-07-10,198.5,Antwerp,Seraing,Plain stage,Erik Zabel,GER
4,2001-07-11,215,Huy,Verdun,Plain stage,Laurent Jalabert,FRA
5,2001-07-12,67,Verdun,Bar-le-Duc,Team time trial,Crédit Agricole,
6,2001-07-13,211.5,Commercy,Strasbourg,Plain stage,Jaan Kirsipuu,EST
7,2001-07-14,162.5,Strasbourg,Colmar,Hilly stage,Laurent Jalabert,FRA
8,2001-07-15,222.5,Colmar,Pontarlier,Plain stage,Erik Dekker,NED
9,2001-07-16,185,Pontarlier,Aix-les-Bains,Plain stage,Serguei Ivanov,RUS
10,2001-07-17,209,Aix-les-Bains,Alpe d'Huez,Stage with mountain(s),Lance Armstrong[n 1],USA
11,2001-07-18,32,Grenoble,Chamrousse,Individual time trial,Lance Armstrong[n 1],USA
12,2001-07-20,166.5,Perpignan,Plateau de Bonascre,Stage with mountain(s),Félix Cárdenas,COL
13,2001-07-21,194,Foix,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Lance Armstrong[n 1],USA
14,2001-07-22,141.5,Tarbes,Luz Ardiden,Stage with mountain(s),Roberto Laiseka,ESP
15,2001-07-24,232.5,Pau,Lavaur,Plain stage,Rik Verbrugghe,BEL
16,2001-07-25,229.5,Castelsarrasin,Sarran,Plain stage,Jens Voigt,GER
17,2001-07-26,194,Brive-la-Gaillarde,Montluçon,Plain stage,Serge Baguet,BEL
18,2001-07-27,61,Montluçon,Saint-Amand-Montrond,Individual time trial,Lance Armstrong[n 1],USA
19,2001-07-28,149.5,Orléans,Évry,Plain stage,Erik Zabel,GER
20,2001-07-29,160.5,Corbeil-Essonnes,Paris,Plain stage,Ján Svorada,CZE
1,2000-07-01,16.5,Futuroscope,Futuroscope,Individual time trial,David Millar,GBR
2,2000-07-02,194,Futuroscope,Loudun,Plain stage,Tom Steels,BEL
3,2000-07-03,161.5,Loudun,Nantes,Plain stage,Tom Steels,BEL
4,2000-07-04,70,Nantes,Saint-Nazaire,Team time trial,ONCE–Deutsche Bank,
5,2000-07-05,202,Vannes,Vitré,Plain stage,Marcel Wüst,GER
6,2000-07-06,198.5,Vitré,Tours,Plain stage,Leon van Bon,NED
7,2000-07-07,205.5,Tours,Limoges,Plain stage,Christophe Agnolutto,FRA
8,2000-07-08,203.5,Limoges,Villeneuve-sur-Lot,Plain stage,Erik Dekker,NED
9,2000-07-09,181,Agen,Dax,Plain stage,Paolo Bettini,ITA
10,2000-07-10,205,Dax,Hautacam,Stage with mountain(s),Javier Otxoa,ESP
11,2000-07-11,218.5,Bagnères-de-Bigorre,Revel,Hilly stage,Erik Dekker,NED
12,2000-07-13,149,Carpentras,Mont Ventoux,Stage with mountain(s),Marco Pantani,ITA
13,2000-07-14,185.5,Avignon,Draguignan,Plain stage,José Vicente Garcia,ESP
14,2000-07-15,249.5,Draguignan,Briançon,Stage with mountain(s),Santiago Botero,COL
15,2000-07-16,173.5,Briançon,Courchevel,Stage with mountain(s),Marco Pantani,ITA
16,2000-07-18,196.5,Courchevel,Morzine,Stage with mountain(s),Richard Virenque,FRA
17,2000-07-19,155,Évian-les-Bains,Lausanne,Hilly stage,Erik Dekker,NED
18,2000-07-20,246.5,Lausanne,Freiburg,Plain stage,Salvatore Commesso,ITA
19,2000-07-21,58.5,Freiburg,Mulhouse,Individual time trial,Lance Armstrong[n 1],USA
20,2000-07-22,254.5,Belfort,Troyes,Plain stage,Erik Zabel,GER
21,2000-07-23,138,Paris,Paris,Plain stage,Stefano Zanini,ITA
P,1999-07-03,6.8,Le Puy du Fou,Le Puy du Fou,Individual time trial,Lance Armstrong[n 1],USA
1,1999-07-04,208,Montaigu,Challans,Plain stage,Jaan Kirsipuu,EST
2,1999-07-05,176,Challans,Saint-Nazaire,Plain stage,Tom Steels,BEL
3,1999-07-06,194.5,Nantes,Laval,Plain stage,Tom Steels,BEL
4,1999-07-07,194.5,Laval,Blois,Plain stage,Mario Cipollini,ITA
5,1999-07-08,233.5,Bonneval,Amiens,Plain stage,Mario Cipollini,ITA
6,1999-07-09,171.5,Amiens,Maubeuge,Plain stage,Mario Cipollini,ITA
7,1999-07-10,227,Avesnes-sur-Helpe,Thionville,Plain stage,Mario Cipollini,ITA
8,1999-07-11,56.5,Metz,Metz,Individual time trial,Lance Armstrong[n 1],USA
9,1999-07-13,213.5,Le Grand-Bornand,Sestrières,Stage with mountain(s),Lance Armstrong[n 1],USA
10,1999-07-14,220.5,Sestrières,Alpe d'Huez,Stage with mountain(s),Giuseppe Guerini,ITA
11,1999-07-15,198.5,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Ludo Dierckxsens,BEL
12,1999-07-16,201.5,Saint-Galmier,Saint-Flour,Hilly stage,David Etxebarria,ESP
13,1999-07-17,236.5,Saint-Flour,Albi,Hilly stage,Salvatore Commesso,ITA
14,1999-07-18,199,Castres,Saint-Gaudens,Plain stage,Dmitri Konychev,RUS
15,1999-07-20,173,Saint-Gaudens,Piau-Engaly,Stage with mountain(s),Fernando Escartín,ESP
16,1999-07-21,192,Lannemezan,Pau,Stage with mountain(s),David Etxebarria,ESP
17,1999-07-22,200,Mourenx,Bordeaux,Plain stage,Tom Steels,BEL
18,1999-07-23,187.5,Jonzac,Futuroscope,Plain stage,Giampaolo Mondini,ITA
19,1999-07-24,57,Futuroscope,Futuroscope,Individual time trial,Lance Armstrong[n 1],USA
20,1999-07-25,143.5,Arpajon,Paris,Plain stage,Robbie McEwen,AUS
P,1998-07-11,5.6,Dublin,Dublin,Individual time trial,Chris Boardman,GBR
1,1998-07-12,180.5,Dublin,Dublin,Plain stage,Tom Steels,BEL
2,1998-07-13,205.5,Enniscorthy,Cork,Plain stage,Ján Svorada,CZE
3,1998-07-14,169,Roscoff,Lorient,Plain stage,Jens Heppner,GER
4,1998-07-15,252,Plouay,Cholet,Plain stage,Jeroen Blijlevens,NED
5,1998-07-16,228.5,Cholet,Châteauroux,Plain stage,Mario Cipollini,ITA
6,1998-07-17,204.5,La Châtre,Brive-la-Gaillarde,Plain stage,Mario Cipollini,ITA
7,1998-07-18,58,Meyrignac-l'Église,Corrèze,Individual time trial,Jan Ullrich,GER
8,1998-07-19,190.5,Brive-la-Gaillarde,Montauban,Plain stage,Jacky Durand,FRA
9,1998-07-20,210,Montauban,Pau,Plain stage,Leon van Bon,NED
10,1998-07-21,196.5,Pau,Luchon,Stage with mountain(s),Rodolfo Massi,ITA
11,1998-07-22,170,Luchon,Plateau de Beille,Stage with mountain(s),Marco Pantani,ITA
12,1998-07-24,222,Tarascon-sur-Ariège,Le Cap d'Agde,Plain stage,Tom Steels,BEL
13,1998-07-25,196,Frontignan la Peyrade,Carpentras,Plain stage,Daniele Nardello,ITA
14,1998-07-26,186.5,Valréas,Grenoble,Hilly stage,Stuart O'Grady,AUS
15,1998-07-27,189,Grenoble,Les Deux Alpes,Stage with mountain(s),Marco Pantani,ITA
16,1998-07-28,204,Vizille,Albertville,Stage with mountain(s),Jan Ullrich,GER
17,1998-07-29,149,Albertville,Aix-les-Bains,Stage with mountain(s),—,
18,1998-07-30,218.5,Aix-les-Bains,Neuchâtel,Hilly stage,Tom Steels,BEL
19,1998-07-31,242,La Chaux-de-Fonds,Autun,Plain stage,Magnus Bäckstedt,SWE
20,1998-08-01,52,Montceau-les-Mines,Le Creusot,Individual time trial,Jan Ullrich,GER
21,1998-08-02,147.5,Melun,Paris,Plain stage,Tom Steels,BEL
P,1997-07-05,7.3,Rouen,Rouen,Individual time trial,Chris Boardman,GBR
1,1997-07-06,192,Rouen,Forges-les-Eaux,Flat stage,Mario Cipollini,ITA
2,1997-07-07,262,Saint-Valery-en-Caux,Vire,Flat stage,Mario Cipollini,ITA
3,1997-07-08,224,Vire,Plumelec,Flat stage,Erik Zabel,GER
4,1997-07-09,223,Plumelec,Le Puy du Fou,Flat stage,Nicola Minali,ITA
5,1997-07-10,261.5,Chantonnay,La Châtre,Flat stage,Cédric Vasseur,FRA
6,1997-07-11,217.5,Le Blanc,Marennes,Flat stage,Jeroen Blijlevens,NED
7,1997-07-12,194,Marennes,Bordeaux,Flat stage,Erik Zabel,GER
8,1997-07-13,161.5,Sauternes,Pau,Flat stage,Erik Zabel,GER
9,1997-07-14,182,Pau,Loudenvielle,Mountain stage,Laurent Brochard,FRA
10,1997-07-15,252.5,Luchon,Andorra Arcalis,Mountain stage,Jan Ullrich,GER
11,1997-07-16,192,Andorra Arcalis,Perpignan,Hilly stage,Laurent Desbiens,FRA
12,1997-07-18,55,Saint-Étienne,Saint-Étienne,Individual time trial,Jan Ullrich,GER
13,1997-07-19,203.5,Saint-Étienne,Alpe d'Huez,Mountain stage,Marco Pantani,ITA
14,1997-07-20,148,Le Bourg-d'Oisans,Courchevel,Mountain stage,Richard Virenque,FRA
15,1997-07-21,208.5,Courchevel,Morzine,Mountain stage,Marco Pantani,ITA
16,1997-07-22,181,Morzine,Fribourg,Hilly stage,Christophe Mengin,FRA
17,1997-07-23,218.5,Fribourg,Colmar,Flat stage,Neil Stephens,AUS
18,1997-07-24,175.5,Colmar,Montbéliard,Hilly stage,Didier Rous,FRA
19,1997-07-25,172,Montbéliard,Dijon,Flat stage,Mario Traversoni,ITA
20,1997-07-26,63,Disneyland Paris,Disneyland Paris,Individual time trial,Abraham Olano,ESP
21,1997-07-27,149.5,Disneyland Paris,Paris,Flat stage,Nicola Minali,ITA
P,1996-06-29,9.4,'s-Hertogenbosch,'s-Hertogenbosch,Individual time trial,Alex Zülle,SUI
1,1996-06-30,209,'s-Hertogenbosch,'s-Hertogenbosch,Plain stage,Frédéric Moncassin,FRA
2,1996-07-01,247.5,'s-Hertogenbosch,Wasquehal,Plain stage,Mario Cipollini,ITA
3,1996-07-02,195,Wasquehal,Nogent-sur-Oise,Plain stage,Erik Zabel,GER
4,1996-07-03,232,Soissons,Lac de Madine,Plain stage,Cyril Saugrain,FRA
5,1996-07-04,242,Lac de Madine,Besançon,Plain stage,Jeroen Blijlevens,NED
6,1996-07-05,207,Arc-et-Senans,Aix-les-Bains,Hilly stage,Michael Boogerd,NED
7,1996-07-06,200,Chambéry,Les Arcs,Stage with mountain(s),Luc Leblanc,FRA
8,1996-07-07,30.5,Bourg-Saint-Maurice,Val d'Isère,Individual time trial,Evgueni Berzin,RUS
9,1996-07-08,46,Le Monêtier-les-Bains,Sestriere,Stage with mountain(s),Bjarne Riis,DEN
10,1996-07-09,208.5,Turin,Gap,Hilly stage,Erik Zabel,GER
11,1996-07-11,202,Gap,Valence,Hilly stage,José Jaime Gonzalez,COL
12,1996-07-12,143.5,Valence,Le Puy-en-Velay,Hilly stage,Pascal Richard,SUI
13,1996-07-13,177,Le Puy-en-Velay,Super Besse,Hilly stage,Rolf Sørensen,DEN
14,1996-07-14,186.5,Besse,Tulle,Hilly stage,Djamolidine Abduzhaparov,UZB
15,1996-07-15,176,Brive-la-Gaillarde,Villeneuve-sur-Lot,Plain stage,Massimo Podenzana,ITA
16,1996-07-16,199,Agen,Hautacam,Stage with mountain(s),Bjarne Riis,DEN
17,1996-07-17,262,Argelès-Gazost,Pamplona,Stage with mountain(s),Laurent Dufaux,SUI
18,1996-07-18,154.5,Pamplona,Hendaye,Hilly stage,Bart Voskamp,NED
19,1996-07-19,226.5,Hendaye,Bordeaux,Plain stage,Frédéric Moncassin,FRA
20,1996-07-20,63.5,Bordeaux,Saint-Émilion,Individual time trial,Jan Ullrich,GER
21,1996-07-21,147.5,Palaiseau,Paris,Plain stage,Fabio Baldato,ITA
P,1995-07-01,7.3,Saint-Brieuc,Saint-Brieuc,Individual time trial,Jacky Durand,FRA
1,1995-07-02,233.5,Dinan,Lannion,Plain stage,Fabio Baldato,ITA
2,1995-07-03,235.5,Perros-Guirec,Vitre,Plain stage,Mario Cipollini,ITA
3,1995-07-04,67,Mayenne,Alençon,Team time trial,Gewiss–Ballan,
4,1995-07-05,162,Alençon,Le Havre,Plain stage,Mario Cipollini,ITA
5,1995-07-06,261,Fécamp,Dunkirk,Plain stage,Jeroen Blijlevens,NED
6,1995-07-07,202,Dunkirk,Charleroi,Plain stage,Erik Zabel,GER
7,1995-07-08,203,Charleroi,Liège,Hilly stage,Johan Bruyneel,BEL
8,1995-07-09,54,Huy,Seraing,Individual time trial,Miguel Indurain,ESP
9,1995-07-11,160,Le Grand-Bornand,La Plagne,Stage with mountain(s),Alex Zülle,SUI
10,1995-07-12,162.5,La Plagne,L'Alpe d'Huez,Stage with mountain(s),Marco Pantani,ITA
11,1995-07-13,199,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Maximilian Sciandri,GBR
12,1995-07-14,222.5,Saint-Étienne,Mende,Hilly stage,Laurent Jalabert,FRA
13,1995-07-15,245,Mende,Revel,Plain stage,Serhiy Utchakov,UKR
14,1995-07-16,164,Saint-Orens-de-Gameville,Guzet-Neige,Stage with mountain(s),Marco Pantani,ITA
15,1995-07-18,206,Saint-Girons,Cauterets,Stage with mountain(s),Richard Virenque,FRA
16,1995-07-19,149,Tarbes,Pau,Stage with mountain(s),Cancelled,
17,1995-07-20,246,Pau,Bordeaux,Plain stage,Erik Zabel,GER
18,1995-07-21,166.5,Montpon-Ménestérol,Limoges,Plain stage,Lance Armstrong,USA
19,1995-07-22,46.5,Lac de Vassivière,Lac de Vassivière,Individual time trial,Miguel Indurain,ESP
20,1995-07-23,155,Sainte-Geneviève-des-Bois,Paris,Plain stage,Djamolidine Abdoujaparov,UZB
P,1994-07-02,7.2,Lille,Lille,Individual time trial,Chris Boardman,GBR
1,1994-07-03,234,Lille,Armentières,Plain stage,Djamolidine Abdoujaparov,UZB
2,1994-07-04,203.5,Roubaix,Boulogne-sur-Mer,Plain stage,Jean-Paul van Poppel,NED
3,1994-07-05,66.5,Calais,Eurotunnel,Team time trial,GB–MG Maglificio,
4,1994-07-06,204.5,Dover, Brighton,Plain stage,Francisco Cabello,ESP
5,1994-07-07,187,Portsmouth,Portsmouth,Plain stage,Nicola Minali,ITA
6,1994-07-08,270.5,Cherbourg,Rennes,Plain stage,Gianluca Bortolami,ITA
7,1994-07-09,259.5,Rennes,Futuroscope,Plain stage,Ján Svorada,SVK
8,1994-07-10,218.5,Poitiers,Trélissac,Plain stage,Bo Hamburger,DEN
9,1994-07-11,64,Périgueux,Bergerac,Individual time trial,Miguel Indurain,ESP
10,1994-07-12,160.5,Bergerac,Cahors,Plain stage,Jacky Durand,FRA
11,1994-07-13,263.5,Cahors,Hautacam,Stage with mountain(s),Luc Leblanc,FRA
12,1994-07-15,204.5,Lourdes,Luz Ardiden,Stage with mountain(s),Richard Virenque,FRA
13,1994-07-16,223,Bagnères-de-Bigorre,Albi,Plain stage,Bjarne Riis,DEN
14,1994-07-17,202,Castres,Montpellier,Plain stage,Rolf Sørensen,DEN
15,1994-07-18,231,Montpellier,Carpentras,Stage with mountain(s),Eros Poli,ITA
16,1994-07-19,224.5,Valréas,Alpe d'Huez,Stage with mountain(s),Roberto Conti,ITA
17,1994-07-20,149,Le Bourg-d'Oisans,Val Thorens,Stage with mountain(s),Nelson Rodriguez,COL
18,1994-07-21,174.5,Moutiers,Cluses,Stage with mountain(s),Piotr Ugrumov,LAT
19,1994-07-22,47.5,Cluses,Avoriaz,Mountain time trial,Piotr Ugrumov,LAT
20,1994-07-23,208.5,Morzine,Lac Saint-Point,Hilly stage,Djamolidine Abdoujaparov,UZB
21,1994-07-24,175,Disneyland Paris,Paris,Plain stage,Eddy Seigneur,FRA
